[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '58')||affected_row=0||cspanid=||spanid=9fa03e455396d24a||traceid=c0a8bc9f5f0882da62f80e15930cf8b0||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||current_time=2020-07-10 23:01:46||proc_time=0.000551s
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||cspanid=||spanid=9fa03e45517d8ebf||level=sql||current_time=2020-07-10 23:01:46||affected_row=1||traceid=c0a8bc9f5f0882dab7800e15b1f57bb0||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||proc_time=0.000530s||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '58')
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '58')||cspanid=||current_time=2020-07-10 23:01:46||proc_time=0.000451s||affected_row=1||traceid=c0a8bc9f5f0882daf0b00e158c4694b0||spanid=9fa03e452f3f0d6f
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||cspanid=||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||proc_time=0.000507s||traceid=c0a8bc9f5f0882da59080e151283b6b0||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '58')||affected_row=1||spanid=9fa03e4520624c58
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '59')||traceid=c0a8bc9f5f0882dacee80e15770eb5b0||spanid=9fa03e4540d4e552||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||current_time=2020-07-10 23:01:46||proc_time=0.000463s||affected_row=1||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '59')||cspanid=||level=sql||current_time=2020-07-10 23:01:46||proc_time=0.000436s||affected_row=0||traceid=c0a8bc9f5f0882da56800e15f98c40b0||spanid=9fa03e4559a30874||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||proc_time=0.000389s||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '59')||affected_row=0||spanid=9fa03e450e4b5ac0||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||current_time=2020-07-10 23:01:46||traceid=c0a8bc9f5f0882da22980e15ad5ac8b0||cspanid=||level=sql
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '59')||affected_row=1||cspanid=||spanid=9fa03e455b7b2709||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||proc_time=0.000456s||traceid=c0a8bc9f5f0882da3ee80e15d8e96fb0
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '59')||current_time=2020-07-10 23:01:46||proc_time=0.000454s||affected_row=1||traceid=c0a8bc9f5f0882da74780e15a82947b0||cspanid=||spanid=9fa03e451b35327a
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||current_time=2020-07-10 23:01:46||spanid=9fa03e4552aaab03||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||proc_time=0.000431s||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '67')||affected_row=1||traceid=c0a8bc9f5f0882da7b280e15e67230b0
